name,city,state,type,stream,fees,cutoff,rank,exam,rating,placement_rate,avg_package,top_recruiters,facilities
Bright Paramedical Institute,Indore,Madhya Pradesh,Private,Science (PCB),129000,66,146,NEET,3.6,76%,Rs 9 LPA,"Apollo Hospitals, Fortis, AIIMS, Max Healthcare, Government Hospitals","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Silver Oak Nursing College,Indore,Madhya Pradesh,Government,Science (PCB),158000,60,261,Merit,3.7,74%,Rs 5 LPA,"Private Clinics, Nursing Homes","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
Sunrise Medical College,Indore,Madhya Pradesh,Private,Science (PCB),197000,63,294,Merit,4.1,55%,Rs 4 LPA,"Private Clinics, Nursing Homes","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Sunrise Institute of Medical Sciences,Indore,Madhya Pradesh,Government,Science (PCB),147000,66,211,NEET,3.9,58%,Rs 5 LPA,"Private Clinics, Nursing Homes","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
Sri Krishna College of Science,Indore,Madhya Pradesh,Government,Science (PCB),187000,81,163,NEET,3.6,68%,Rs 3 LPA,"Private Clinics, Nursing Homes","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
Horizon Nursing College,Indore,Madhya Pradesh,Private,Science (PCB),131000,83,105,Merit,4.1,82%,Rs 5 LPA,"Apollo Hospitals, Fortis, AIIMS, Max Healthcare, Government Hospitals","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Priyadarshini Paramedical Institute,Indore,Madhya Pradesh,Private,Science (PCB),136000,80,303,NEET,3.7,64%,Rs 4 LPA,"Private Clinics, Nursing Homes","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Shivajirao Nursing College,Indore,Madhya Pradesh,Private,Science (PCB),81000,85,125,NEET,4.0,86%,Rs 9 LPA,"Apollo Hospitals, Fortis, AIIMS, Max Healthcare, Government Hospitals","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Horizon Medical College,Indore,Madhya Pradesh,Government,Science (PCB),137000,63,325,Merit,3.9,64%,Rs 5 LPA,"Private Clinics, Nursing Homes","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
Prime Medical College,Indore,Madhya Pradesh,Private,Science (PCB),164000,78,230,Merit,3.7,57%,Rs 5 LPA,"Private Clinics, Nursing Homes","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Prestige Institute of Medical Sciences,Indore,Madhya Pradesh,Private,Science (PCB),165000,74,333,Merit,3.7,68%,Rs 5 LPA,"Private Clinics, Nursing Homes","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Shivajirao College of Science,Indore,Madhya Pradesh,Government,Science (PCB),94000,78,221,Merit,3.8,56%,Rs 3 LPA,"Private Clinics, Nursing Homes","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
Sri Krishna Institute of Professional Studies,Indore,Madhya Pradesh,Private,Commerce,34000,66,190,Merit,3.5,58%,Rs 3 LPA,"Local Banks, Startups, Sales Firms, Muthoot Finance","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Shree Ram Commerce & Science College,Indore,Madhya Pradesh,Government Aided,Commerce,84000,70,219,Merit,4.0,68%,Rs 3 LPA,"Local Banks, Startups, Sales Firms, Muthoot Finance","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
Silver Oak Institute of Professional Studies,Indore,Madhya Pradesh,Private,Commerce,77000,67,162,Merit,3.8,66%,Rs 2 LPA,"Local Banks, Startups, Sales Firms, Muthoot Finance","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Sunrise Institute of Professional Studies,Indore,Madhya Pradesh,Government Aided,Commerce,54000,66,404,Merit,4.0,62%,Rs 4 LPA,"Local Banks, Startups, Sales Firms, Muthoot Finance","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
Pioneer Institute of Professional Studies,Indore,Madhya Pradesh,Government Aided,Commerce,65000,61,170,Merit,4.2,70%,Rs 2 LPA,"Local Banks, Startups, Sales Firms, Muthoot Finance","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
Rajiv Gandhi College of Commerce,Indore,Madhya Pradesh,Government Aided,Commerce,50000,74,316,Merit,3.8,71%,Rs 2 LPA,"Local Banks, Startups, Sales Firms, Muthoot Finance","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
Acme Degree College,Indore,Madhya Pradesh,Government Aided,Commerce,36000,51,215,Merit,4.2,69%,Rs 2 LPA,"Local Banks, Startups, Sales Firms, Muthoot Finance","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
Silver Oak College of Commerce,Indore,Madhya Pradesh,Government Aided,Commerce,56000,71,207,CUET,3.7,67%,Rs 4 LPA,"Local Banks, Startups, Sales Firms, Muthoot Finance","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
Zenith Institute of Professional Studies,Indore,Madhya Pradesh,Government Aided,Commerce,34000,59,445,Merit,4.0,56%,Rs 3 LPA,"Local Banks, Startups, Sales Firms, Muthoot Finance","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
Priyadarshini Commerce & Science College,Indore,Madhya Pradesh,Government Aided,Commerce,70000,77,332,Merit,4.0,53%,Rs 4 LPA,"Local Banks, Startups, Sales Firms, Muthoot Finance","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
Gyan Commerce & Science College,Indore,Madhya Pradesh,Government Aided,Commerce,52000,70,190,Merit,4.1,53%,Rs 3 LPA,"Local Banks, Startups, Sales Firms, Muthoot Finance","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
Maharaja Degree College,Indore,Madhya Pradesh,Government Aided,Commerce,88000,61,169,Merit,3.9,54%,Rs 3 LPA,"Local Banks, Startups, Sales Firms, Muthoot Finance","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
Silver Oak Commerce & Science College,Indore,Madhya Pradesh,Government Aided,Commerce,83000,67,323,Merit,3.9,55%,Rs 4 LPA,"Local Banks, Startups, Sales Firms, Muthoot Finance","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
Core College of Commerce,Indore,Madhya Pradesh,Private,Commerce,40000,77,328,CUET,3.9,61%,Rs 3 LPA,"Local Banks, Startups, Sales Firms, Muthoot Finance","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Shree Ram College of Commerce,Indore,Madhya Pradesh,Government Aided,Commerce,39000,67,364,CUET,4.1,65%,Rs 3 LPA,"Local Banks, Startups, Sales Firms, Muthoot Finance","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
Prime College of Commerce,Indore,Madhya Pradesh,Private,Commerce,62000,52,150,Merit,3.6,79%,Rs 5 LPA,"Deloitte, KPMG, EY, PwC, HDFC Bank, ICICI Bank","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Sunrise Degree College,Indore,Madhya Pradesh,Private,Commerce,58000,79,191,Merit,3.6,52%,Rs 2 LPA,"Local Banks, Startups, Sales Firms, Muthoot Finance","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Swami Vivekananda Degree College,Indore,Madhya Pradesh,Private,Commerce,72000,78,303,Merit,3.8,50%,Rs 2 LPA,"Local Banks, Startups, Sales Firms, Muthoot Finance","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Pioneer Commerce & Science College,Indore,Madhya Pradesh,Government Aided,Commerce,35000,55,377,Merit,3.8,56%,Rs 2 LPA,"Local Banks, Startups, Sales Firms, Muthoot Finance","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
Vikramaditya Commerce & Science College,Indore,Madhya Pradesh,Government Aided,Commerce,30000,68,209,Merit,4.1,63%,Rs 3 LPA,"Local Banks, Startups, Sales Firms, Muthoot Finance","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
Matrix Degree College,Indore,Madhya Pradesh,Private,Commerce,84000,70,250,Merit,3.8,58%,Rs 2 LPA,"Local Banks, Startups, Sales Firms, Muthoot Finance","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Navin Institute of Professional Studies,Indore,Madhya Pradesh,Private,Commerce,37000,54,150,Merit,4.0,85%,Rs 5 LPA,"Deloitte, KPMG, EY, PwC, HDFC Bank, ICICI Bank","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Maa Baweja College of Commerce,Indore,Madhya Pradesh,Government Aided,Commerce,44000,76,282,CUET,3.9,59%,Rs 4 LPA,"Local Banks, Startups, Sales Firms, Muthoot Finance","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
Devi Ahilya Commerce & Science College,Indore,Madhya Pradesh,Private,Commerce,87000,60,382,CUET,3.9,50%,Rs 4 LPA,"Local Banks, Startups, Sales Firms, Muthoot Finance","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Priyadarshini College of Commerce,Indore,Madhya Pradesh,Government Aided,Commerce,86000,68,364,CUET,3.7,68%,Rs 4 LPA,"Local Banks, Startups, Sales Firms, Muthoot Finance","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
Saraswati College of Commerce,Indore,Madhya Pradesh,Private,Commerce,52000,61,186,Merit,4.2,61%,Rs 2 LPA,"Local Banks, Startups, Sales Firms, Muthoot Finance","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Prestige Institute of Professional Studies,Indore,Madhya Pradesh,Private,Commerce,43000,66,210,Merit,4.1,51%,Rs 4 LPA,"Local Banks, Startups, Sales Firms, Muthoot Finance","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Maa Baweja Institute of Professional Studies,Indore,Madhya Pradesh,Government Aided,Commerce,73000,50,312,CUET,4.2,52%,Rs 2 LPA,"Local Banks, Startups, Sales Firms, Muthoot Finance","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
Apex Degree College,Indore,Madhya Pradesh,Government Aided,Commerce,72000,51,215,Merit,4.1,68%,Rs 3 LPA,"Local Banks, Startups, Sales Firms, Muthoot Finance","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
Royal College of Commerce,Indore,Madhya Pradesh,Government Aided,Commerce,57000,76,304,Merit,3.9,72%,Rs 2 LPA,"Local Banks, Startups, Sales Firms, Muthoot Finance","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
Mahakal Degree College,Indore,Madhya Pradesh,Private,Commerce,36000,59,279,CUET,4.2,64%,Rs 3 LPA,"Local Banks, Startups, Sales Firms, Muthoot Finance","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Chanakya Arts College,Indore,Madhya Pradesh,Government,Arts / Humanities,11000,69,396,Merit,3.6,66%,Rs 2 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
Nexus Degree College,Indore,Madhya Pradesh,Government Aided,Arts / Humanities,31000,63,263,Merit,3.7,51%,Rs 3 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
Eminent Girls College,Indore,Madhya Pradesh,Government,Arts / Humanities,46000,54,294,Merit,3.8,72%,Rs 2 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
Pragyan Arts & Science College,Indore,Madhya Pradesh,Private,Arts / Humanities,50000,59,240,Merit,3.7,73%,Rs 3 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Rani Ahilyabai Girls College,Indore,Madhya Pradesh,Government,Arts / Humanities,42000,68,458,Merit,3.5,68%,Rs 2 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
Prestige Degree College,Indore,Madhya Pradesh,Government,Arts / Humanities,20000,67,250,Merit,3.6,62%,Rs 3 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
Rajiv Gandhi College of Arts & Humanities,Indore,Madhya Pradesh,Government Aided,Arts / Humanities,45000,70,299,Merit,3.7,66%,Rs 2 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
Saraswati College of Arts & Humanities,Indore,Madhya Pradesh,Private,Arts / Humanities,41000,71,248,Merit,3.8,63%,Rs 3 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Maa Baweja Degree College,Indore,Madhya Pradesh,Private,Arts / Humanities,48000,66,401,Merit,4.1,72%,Rs 3 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Apex Degree College,Indore,Madhya Pradesh,Government,Arts / Humanities,12000,74,485,Merit,4.2,60%,Rs 3 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
Sunrise Arts College,Indore,Madhya Pradesh,Government Aided,Arts / Humanities,33000,68,309,Merit,4.1,61%,Rs 2 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
Vision College of Arts & Humanities,Indore,Madhya Pradesh,Government Aided,Arts / Humanities,28000,70,310,Merit,3.7,59%,Rs 3 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
Eminent College of Arts & Humanities,Indore,Madhya Pradesh,Private,Arts / Humanities,48000,53,456,Merit,3.7,51%,Rs 2 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Swami Vivekananda Degree College,Indore,Madhya Pradesh,Government,Arts / Humanities,15000,50,371,Merit,3.5,58%,Rs 3 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
Chanakya College of Arts & Humanities,Indore,Madhya Pradesh,Government Aided,Arts / Humanities,21000,60,262,Merit,4.0,52%,Rs 2 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
Pragyan Arts College,Indore,Madhya Pradesh,Government Aided,Arts / Humanities,45000,61,212,Merit,4.1,58%,Rs 3 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
Sunrise Arts & Science College,Indore,Madhya Pradesh,Government,Arts / Humanities,25000,60,338,Merit,3.8,56%,Rs 2 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
Maharaja Arts College,Indore,Madhya Pradesh,Government,Arts / Humanities,23000,65,284,Merit,4.1,53%,Rs 2 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
Pinnacle Girls College,Indore,Madhya Pradesh,Government Aided,Arts / Humanities,42000,65,270,Merit,3.8,61%,Rs 3 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
Bright Arts & Science College,Indore,Madhya Pradesh,Private,Arts / Humanities,28000,56,336,Merit,4.1,59%,Rs 2 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Rani Ahilyabai Arts & Science College,Indore,Madhya Pradesh,Private,Arts / Humanities,36000,57,381,Merit,3.6,71%,Rs 3 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Indore Degree College,Indore,Madhya Pradesh,Private,Arts / Humanities,20000,58,286,Merit,3.7,69%,Rs 3 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Paramount Arts College,Indore,Madhya Pradesh,Private,Arts / Humanities,17000,70,480,Merit,3.9,72%,Rs 3 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Vidyapeeth College of Arts & Humanities,Indore,Madhya Pradesh,Government,Arts / Humanities,35000,58,413,Merit,3.6,63%,Rs 3 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
Vikramaditya Arts College,Indore,Madhya Pradesh,Private,Arts / Humanities,37000,54,260,Merit,3.9,56%,Rs 3 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Malwa Arts College,Indore,Madhya Pradesh,Government,Arts / Humanities,16000,62,443,Merit,3.7,58%,Rs 3 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
Global Degree College,Indore,Madhya Pradesh,Private,Arts / Humanities,48000,65,344,Merit,3.9,64%,Rs 3 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Central India College of Arts & Humanities,Indore,Madhya Pradesh,Government,Arts / Humanities,29000,65,210,Merit,4.0,60%,Rs 2 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
Swami Vivekananda Arts College,Indore,Madhya Pradesh,Government Aided,Arts / Humanities,18000,72,332,Merit,3.6,66%,Rs 2 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
Central India Institute of Business Management,Indore,Madhya Pradesh,Private,Management,231000,64,224,CAT,3.6,69%,Rs 2 LPA,"Local Banks, Startups, Sales Firms, Muthoot Finance","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Pinnacle Management College,Indore,Madhya Pradesh,Private,Management,227000,61,190,CUET,4.2,61%,Rs 4 LPA,"Local Banks, Startups, Sales Firms, Muthoot Finance","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Prime Institute of Management,Indore,Madhya Pradesh,Private,Management,197000,72,180,Merit,3.6,72%,Rs 3 LPA,"Local Banks, Startups, Sales Firms, Muthoot Finance","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Horizon Business School,Indore,Madhya Pradesh,Private,Management,243000,67,126,CAT,3.9,81%,Rs 5 LPA,"Deloitte, KPMG, EY, PwC, HDFC Bank, ICICI Bank","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Ahilya Management College,Indore,Madhya Pradesh,Private,Management,237000,72,176,Merit,3.8,57%,Rs 4 LPA,"Local Banks, Startups, Sales Firms, Muthoot Finance","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Priyadarshini Management College,Indore,Madhya Pradesh,Private,Management,177000,56,100,CAT,3.9,87%,Rs 5 LPA,"Deloitte, KPMG, EY, PwC, HDFC Bank, ICICI Bank","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Sri Krishna Institute of Business Management,Indore,Madhya Pradesh,Private,Management,245000,72,170,CUET,4.0,53%,Rs 3 LPA,"Local Banks, Startups, Sales Firms, Muthoot Finance","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Vision Institute of Management,Indore,Madhya Pradesh,Private University,Management,91000,66,238,CUET,3.8,59%,Rs 4 LPA,"Local Banks, Startups, Sales Firms, Muthoot Finance","Wi-Fi Campus, Library, Cafeteria, AC Hostels, Olympic Sports Complex, Research Labs, Gym, Auditorium"
Mahakal Institute of Management,Indore,Madhya Pradesh,Private University,Management,242000,58,171,CUET,3.9,52%,Rs 4 LPA,"Local Banks, Startups, Sales Firms, Muthoot Finance","Wi-Fi Campus, Library, Cafeteria, AC Hostels, Olympic Sports Complex, Research Labs, Gym, Auditorium"
Gyan Institute of Business Management,Indore,Madhya Pradesh,Private,Management,145000,66,249,Merit,4.1,70%,Rs 4 LPA,"Local Banks, Startups, Sales Firms, Muthoot Finance","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Narmada Institute of Management,Indore,Madhya Pradesh,Private University,Management,94000,63,140,CUET,3.7,89%,Rs 5 LPA,"Deloitte, KPMG, EY, PwC, HDFC Bank, ICICI Bank","Wi-Fi Campus, Library, Cafeteria, AC Hostels, Olympic Sports Complex, Research Labs, Gym, Auditorium"
Saraswati Institute of Management,Indore,Madhya Pradesh,Private University,Management,188000,65,145,Merit,3.9,79%,Rs 6 LPA,"Deloitte, KPMG, EY, PwC, HDFC Bank, ICICI Bank","Wi-Fi Campus, Library, Cafeteria, AC Hostels, Olympic Sports Complex, Research Labs, Gym, Auditorium"
Ahilya Institute of Management,Indore,Madhya Pradesh,Private,Management,132000,75,133,CUET,3.8,85%,Rs 5 LPA,"Deloitte, KPMG, EY, PwC, HDFC Bank, ICICI Bank","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Elite Management College,Indore,Madhya Pradesh,Private,Management,191000,66,139,CUET,3.9,84%,Rs 6 LPA,"Deloitte, KPMG, EY, PwC, HDFC Bank, ICICI Bank","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Apex Institute of Management,Indore,Madhya Pradesh,Private University,Management,215000,61,260,CAT,3.5,72%,Rs 4 LPA,"Local Banks, Startups, Sales Firms, Muthoot Finance","Wi-Fi Campus, Library, Cafeteria, AC Hostels, Olympic Sports Complex, Research Labs, Gym, Auditorium"
Future Institute of Business Management,Indore,Madhya Pradesh,Private,Management,99000,70,103,CUET,4.0,83%,Rs 6 LPA,"Deloitte, KPMG, EY, PwC, HDFC Bank, ICICI Bank","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Zenith Institute of Management,Indore,Madhya Pradesh,Private University,Management,202000,70,263,CAT,3.9,65%,Rs 3 LPA,"Local Banks, Startups, Sales Firms, Muthoot Finance","Wi-Fi Campus, Library, Cafeteria, AC Hostels, Olympic Sports Complex, Research Labs, Gym, Auditorium"
Vidyapeeth Institute of Management,Indore,Madhya Pradesh,Private University,Management,217000,73,219,Merit,3.9,63%,Rs 4 LPA,"Local Banks, Startups, Sales Firms, Muthoot Finance","Wi-Fi Campus, Library, Cafeteria, AC Hostels, Olympic Sports Complex, Research Labs, Gym, Auditorium"
Central India Management College,Indore,Madhya Pradesh,Private,Management,144000,75,237,CAT,3.9,74%,Rs 3 LPA,"Local Banks, Startups, Sales Firms, Muthoot Finance","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Malwa Management College,Indore,Madhya Pradesh,Private,Management,225000,67,291,CAT,3.6,63%,Rs 2 LPA,"Local Banks, Startups, Sales Firms, Muthoot Finance","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Rani Ahilyabai Institute of Management,Indore,Madhya Pradesh,Private,Management,98000,57,240,CUET,3.8,71%,Rs 4 LPA,"Local Banks, Startups, Sales Firms, Muthoot Finance","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Maharaja Institute of Business Management,Indore,Madhya Pradesh,Private University,Management,153000,78,138,CAT,3.9,79%,Rs 6 LPA,"Deloitte, KPMG, EY, PwC, HDFC Bank, ICICI Bank","Wi-Fi Campus, Library, Cafeteria, AC Hostels, Olympic Sports Complex, Research Labs, Gym, Auditorium"
Shivajirao Business School,Indore,Madhya Pradesh,Private,Management,134000,60,225,CUET,3.7,52%,Rs 3 LPA,"Local Banks, Startups, Sales Firms, Muthoot Finance","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Nexus Institute of Business Management,Indore,Madhya Pradesh,Private,Management,170000,68,294,CAT,4.0,58%,Rs 2 LPA,"Local Banks, Startups, Sales Firms, Muthoot Finance","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Royal Institute of Management,Indore,Madhya Pradesh,Private University,Management,132000,76,287,CUET,4.1,66%,Rs 4 LPA,"Local Banks, Startups, Sales Firms, Muthoot Finance","Wi-Fi Campus, Library, Cafeteria, AC Hostels, Olympic Sports Complex, Research Labs, Gym, Auditorium"
Sri Sai Management College,Indore,Madhya Pradesh,Private University,Management,175000,61,236,CAT,4.0,67%,Rs 3 LPA,"Local Banks, Startups, Sales Firms, Muthoot Finance","Wi-Fi Campus, Library, Cafeteria, AC Hostels, Olympic Sports Complex, Research Labs, Gym, Auditorium"
Shree Ram Pharmacy College,Indore,Madhya Pradesh,Private,Pharmacy,76000,65,338,Merit,3.8,53%,Rs 2 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Rajiv Gandhi College of Pharmacy,Indore,Madhya Pradesh,Private,Pharmacy,85000,67,322,NEET,3.9,67%,Rs 3 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Navin College of Pharmacy,Indore,Madhya Pradesh,Private,Pharmacy,86000,57,219,NEET,3.5,73%,Rs 3 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Priyadarshini Pharmacy College,Indore,Madhya Pradesh,Private,Pharmacy,88000,68,270,Merit,3.8,64%,Rs 3 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
